seed,method,n_snapshots,finalF,naive_bestF,naive_argmax_t,debiased_bestF,debiased_argmax_t_mode,debiased_argmax_pickfrac,gap_naive,gap_debiased
42,memoryless,10,0.6127342934295331,0.9535753275582608,8000000,0.9533121312222584,8000000,1.0,0.3408410341287277,0.3405778377927253
43,memoryless,10,0.7283484721065312,0.9100655380196271,16000000,0.9100328694855784,16000000,1.0,0.1817170659130959,0.18168439737904718
44,memoryless,10,0.48684092590778216,0.8052772480618825,8000000,0.8045778195118058,8000000,1.0,0.31843632215410034,0.3177368936040237
45,memoryless,10,0.944329435757164,0.9731121175082149,16000000,0.9730342115711487,16000000,0.998,0.02878268175105092,0.028704775813984673
46,memoryless,10,0.8742680154490732,0.9619696272158182,16000000,0.9616126078258979,16000000,0.976,0.08770161176674507,0.08734459237682468
47,memoryless,10,0.5169063634333223,0.869793586243355,8000000,0.8697649862125443,8000000,1.0,0.3528872228100327,0.352858622779222
48,memoryless,10,0.775625661020494,0.849314751603433,8000000,0.841856019012941,8000000,0.682,0.07368909058293893,0.06623035799244703
49,memoryless,10,0.8584971801685962,0.87381665867416,8000000,0.8653077871524106,8000000,0.714,0.01531947850556381,0.006810606983814416
42,context50,10,0.9391237033575073,0.9514823847516178,8000000,0.9476858084681763,8000000,0.794,0.01235868139411056,0.008562105110669016
43,context50,10,0.8867605732099302,0.8959097345717544,72000000,0.891433066264255,72000000,0.742,0.009149161361824198,0.004672493054324822
44,context50,10,0.4050065930575874,0.8170832910786601,64000000,0.8047194330496849,64000000,0.594,0.41207669802107266,0.39971283999209745
45,context50,10,0.4906103379176437,0.9735831756943796,8000000,0.9737372257390915,8000000,1.0,0.4829728377767359,0.4831268878214478
46,context50,10,0.8590175549760121,0.9740706948732207,8000000,0.9739803507750419,8000000,1.0,0.11505313989720867,0.1149627957990298
47,context50,10,0.7240123380620227,0.9515060732538163,8000000,0.9502341819379517,8000000,0.938,0.2274937351917936,0.22622184387592903
48,context50,10,0.5882165152442244,0.965710944434828,24000000,0.9633842280735652,24000000,0.896,0.3774944291906036,0.3751677128293408
49,context50,10,0.8794341741998569,0.9678810773806465,32000000,0.9677886431364378,32000000,0.994,0.08844690318078963,0.08835446893658083
