tau,metric,n_pairs,mean_delta,median_delta,IQM_delta,std_delta,min_delta,max_delta,ca50_wins,ca50_win_fraction,mean_delta_ci_lo,mean_delta_ci_hi,iqm_delta_ci_lo,iqm_delta_ci_hi,sign_test_p
10.0,mean_F,8,-0.0031725000000000086,0.002840000000000009,0.020564999999999986,0.24575980577733675,-0.45372,0.32638999999999996,4,0.5,-0.17172253125,0.14836115624999985,-0.1845525,0.19038000000000002,1.0
10.0,median_F,8,-0.003973750000000005,-0.002850000000000019,0.0006374999999999853,0.27328453439788986,-0.48737,0.3331900000000001,4,0.5,-0.1900776875,0.16826250000000004,-0.21756499999999998,0.22493000000000002,1.0
10.0,p25_F,8,0.019043749999999984,0.02786999999999995,0.05316999999999996,0.35831025067819566,-0.60381,0.50857,4,0.5,-0.22558249999999996,0.24360374999999979,-0.2518725,0.3041675,1.0
10.0,p10_F,8,0.004375000000000018,-0.003214999999999968,0.03000750000000002,0.39714611686740325,-0.6688,0.59185,4,0.5,-0.2623854375,0.2578675,-0.292535,0.31402749999999996,1.0
10.0,min_F,8,-0.006043749999999997,-0.013359999999999999,-0.032357500000000004,0.1622429382955872,-0.22504,0.25557,4,0.5,-0.10669625,0.10211334374999992,-0.1302725,0.13867000000000002,1.0
10.0,P_gt_90,8,0.02369999999999999,0.07889999999999997,0.061499999999999985,0.4154557703809843,-0.819,0.6362,5,0.625,-0.265275,0.2762174999999997,-0.2542,0.3014,0.7265625
10.0,P_gt_95,8,0.002399999999999994,0.0462,0.0313,0.35757209862387995,-0.7008,0.5318,4,0.5,-0.24512437499999995,0.22295,-0.24250000000000002,0.24730000000000002,1.0
10.0,P_gt_99,8,-0.043774999999999994,0.0098,-0.00010000000000000286,0.24693229696763905,-0.4496,0.2782,4,0.5,-0.21015,0.109875,-0.26299999999999996,0.139,1.0
10.0,worst5_mean,8,-0.010132499999999989,-0.026539999999999994,-0.030052500000000006,0.3722107881199269,-0.5708599999999999,0.57871,4,0.5,-0.24909249999999997,0.23501512499999994,-0.30363999999999997,0.2917925,1.0
