tau,k,method,seed,timestep,n_eval,mean_F,std_F,median_F,p25_F,p10_F,min_F,P_gt_90,P_gt_95,P_gt_99,worst5_mean,source_file
10.0,50,context50,42,80000000,5000,0.93912,0.07417,0.96608,0.91894,0.84594,0.28308,0.8054,0.6206,0.1938,0.70319,eval_results/retrain_context50_tau10.0_seed42.txt
10.0,50,context50,43,80000000,5000,0.88676,0.10499,0.91732,0.83737,0.7434,0.19679,0.571,0.3372,0.086,0.58694,eval_results/retrain_context50_tau10.0_seed43.txt
10.0,50,context50,44,80000000,5000,0.40501,0.21074,0.35581,0.24621,0.16364,1e-05,0.002,0.0,0.0,0.09131,eval_results/retrain_context50_tau10.0_seed44.txt
10.0,50,context50,45,80000000,5000,0.49061,0.22419,0.49716,0.33131,0.16857,0.00014,0.0,0.0,0.0,0.0439,eval_results/retrain_context50_tau10_seed45.txt
10.0,50,context50,46,80000000,5000,0.85902,0.18197,0.93084,0.81841,0.61033,0.05398,0.5988,0.4206,0.151,0.27895,eval_results/retrain_context50_tau10_seed46.txt
10.0,50,context50,47,80000000,5000,0.72401,0.24173,0.80089,0.5687,0.33885,0.01861,0.3148,0.1812,0.0404,0.15811,eval_results/retrain_context50_tau10_seed47.txt
10.0,50,context50,48,80000000,5000,0.58822,0.28362,0.61346,0.35961,0.17371,0.00033,0.1822,0.1108,0.0232,0.04832,eval_results/retrain_context50_tau10_seed48.txt
10.0,50,context50,49,80000000,5000,0.87943,0.18317,0.96215,0.85621,0.61917,0.02239,0.6788,0.5466,0.2854,0.28584,eval_results/retrain_context50_tau10_seed49.txt
10.0,0,memoryless,42,80000000,5000,0.61273,0.25417,0.63289,0.41037,0.25409,0.02751,0.1692,0.0888,0.015,0.12448,eval_results/retrain_memoryless_tau10.0_seed42.txt
10.0,0,memoryless,43,80000000,5000,0.72835,0.22617,0.7739,0.56867,0.3985,0.01534,0.3132,0.211,0.0608,0.2081,eval_results/retrain_memoryless_tau10.0_seed43.txt
10.0,0,memoryless,44,80000000,5000,0.48684,0.16757,0.49098,0.35797,0.25859,0.03706,0.0,0.0,0.0,0.16004,eval_results/retrain_memoryless_tau10.0_seed44.txt
10.0,0,memoryless,45,80000000,5000,0.94433,0.09591,0.98453,0.93512,0.83737,0.22518,0.819,0.7008,0.4496,0.61476,eval_results/retrain_memoryless_tau10_seed45.txt
10.0,0,memoryless,46,80000000,5000,0.87427,0.20204,0.99196,0.81971,0.56335,0.02859,0.6672,0.5964,0.5082,0.2633,eval_results/retrain_memoryless_tau10_seed46.txt
10.0,0,memoryless,47,80000000,5000,0.51691,0.30142,0.49445,0.24317,0.11744,0.00828,0.1582,0.0888,0.0208,0.0533,eval_results/retrain_memoryless_tau10_seed47.txt
10.0,0,memoryless,48,80000000,5000,0.77563,0.17225,0.80006,0.65023,0.52669,0.13123,0.3136,0.2042,0.0684,0.39586,eval_results/retrain_memoryless_tau10_seed48.txt
10.0,0,memoryless,49,80000000,5000,0.8585,0.13615,0.90673,0.79917,0.67258,0.15049,0.523,0.3078,0.0072,0.45778,eval_results/retrain_memoryless_tau10_seed49.txt
