tau,method,metric,n,mean,median,IQM,std,min,max,mean_ci_lo,mean_ci_hi,iqm_ci_lo,iqm_ci_hi
10.0,context50,mean_F,8,0.7215225,0.791515,0.7626700000000001,0.20345899339389534,0.40501,0.93912,0.58489,0.8492577812499998,0.539415,0.88925
10.0,context50,median_F,8,0.75546375,0.859105,0.8156275,0.23685596641584886,0.35581,0.96608,0.5918300000000001,0.9016012499999999,0.537755,0.946495
10.0,context50,p25_F,8,0.617095,0.6935549999999999,0.6460224999999999,0.2739146224647381,0.24621,0.91894,0.437345,0.794475,0.34546,0.8530225
10.0,context50,p10_F,8,0.45795125,0.47459,0.435515,0.2794294808783221,0.16364,0.84594,0.279389125,0.6434759687499998,0.17114000000000001,0.7101324999999999
10.0,context50,min_F,8,0.07191625,0.0205,0.0238275,0.10773421501049966,1e-05,0.28308,0.01077393750000001,0.14970875,0.000235,0.1606325
10.0,context50,P_gt_90,8,0.39412499999999995,0.44289999999999996,0.4167,0.312516238435244,0.0,0.8054,0.1887875,0.59598,0.0916,0.6587999999999999
10.0,context50,P_gt_95,8,0.27712499999999995,0.2592,0.26244999999999996,0.24060877403548098,0.0,0.6206,0.12432499999999999,0.4372,0.0554,0.49424999999999997
10.0,context50,P_gt_99,8,0.097475,0.06319999999999999,0.07515,0.10376346384239217,0.0,0.2854,0.03525,0.16855124999999996,0.0116,0.18309999999999998
10.0,context50,worst5_mean,8,0.27457,0.21853,0.2035525,0.24870556005043395,0.0439,0.70319,0.12427875,0.44857125,0.07352987500000002,0.5099425
10.0,memoryless,mean_F,8,0.7246950000000001,0.75199,0.7438025000000001,0.1704655363576881,0.48684,0.94433,0.614487875,0.83224625,0.56482,0.8663850000000001
10.0,memoryless,median_F,8,0.7594375,0.78698,0.7783950000000001,0.20233983180707224,0.49098,0.99196,0.6276509374999999,0.88864,0.5636699999999999,0.94563
10.0,memoryless,p25_F,8,0.5980512499999999,0.60945,0.60711,0.24657265949918292,0.24317,0.93512,0.4392306875,0.75668875,0.38417,0.80944
10.0,memoryless,p10_F,8,0.45357624999999996,0.462595,0.4367825,0.24097763831866817,0.11744,0.83737,0.29540500000000003,0.613545,0.25634,0.6452724999999999
10.0,memoryless,min_F,8,0.07796,0.032825,0.0560975,0.08035990329226919,0.00828,0.22518,0.031415000000000005,0.1323925,0.019659999999999997,0.14086
10.0,memoryless,P_gt_90,8,0.370425,0.3134,0.32975,0.27821458188137543,0.0,0.819,0.20124124999999998,0.560300625,0.16024750000000001,0.6166499999999999
10.0,memoryless,P_gt_95,8,0.274725,0.2076,0.20295000000000002,0.2506429888449762,0.0,0.7008,0.124525,0.4503775,0.0888,0.49835
10.0,memoryless,P_gt_99,8,0.14125,0.0408,0.041249999999999995,0.21040083514228602,0.0,0.5082,0.02224875,0.298425,0.01075,0.3424
10.0,memoryless,worst5_mean,8,0.28470249999999997,0.2357,0.25682499999999997,0.1898626870549195,0.0533,0.61476,0.16685,0.4125718124999999,0.13648,0.43903
